Timestamp,Available,,User._avg (%),Idle._avg (%)
1633436400,84.26,,7.09,91.35
1633436700,84.86,,6.83,91.69
1633437000,84.635,,6.95,91.585
1633437300,86.71,,5.945,92.655
1633437600,85.975,,6.295,92.27
1633437900,86.865,,5.865,92.73
1633438200,84.405,,7.045,91.45
1633438500,85.285,,6.62,91.905
1633438800,85.265,,6.62,91.885
1633439100,86.52,,6.02,92.54
1633439400,84.97,,6.81,91.78
1633439700,86.8,,5.915,92.715
1633440000,84.7,,6.91,91.61
1633440300,84.95,,6.775,91.725
1633440600,82.145,,8.075,90.22
1633440900,86.175,,6.195,92.37
1633441200,83.02,,7.685,90.705
1633441500,86.065,,6.225,92.29
1633441800,85.04,,6.72,91.76
1633442100,83.535,,7.42,90.955
1633442400,85.055,,6.715,91.77
1633442700,85.585,,6.425,92.01
1633443000,84.64,,6.965,91.605
1633443300,86.32,,6.135,92.455
1633443600,84.975,,6.765,91.74
1633443900,85.295,,6.625,91.92
1633444200,84.06,,7.2,91.26
1633444500,86.975,,5.815,92.79
1633444800,85.66,,6.42,92.08
1633445100,87.02,,5.805,92.825
1633445400,84.13,,7.15,91.28
1633445700,85,,6.75,91.75
1633446000,85.46,,6.525,91.985
1633446300,86.675,,5.92,92.595
1633446600,84.7,,6.9,91.6
1633446900,86.27,,6.125,92.395
1633447200,84.14,,7.145,91.285
1633447500,84.895,,6.81,91.705
1633447800,83.69,,7.4,91.09
1633448100,86.38,,6.075,92.455
1633448400,86.435,,6.085,92.52
1633448700,86.855,,5.87,92.725
1633449000,85.6,,6.475,92.075
1633449300,84.61,,6.945,91.555
1633449600,85.515,,6.505,92.02
1633449900,85.77,,6.355,92.125
1633450200,84.27,,7.12,91.39
1633450500,85.725,,6.39,92.115
1633450800,84.525,,6.975,91.5
1633493700,45.93,,24.42,70.35
1633494000,66.65,,15.705,82.355
1633494300,82.35,,8.065,90.415
1633494600,83,,7.795,90.795
1633494900,80.965,,8.75,89.715
1633495200,86.36,,6.2,92.56
1633495500,82.655,,7.82,90.475
1633495800,82.685,,7.96,90.645
1633496100,83.235,,7.655,90.89
1633496400,79.775,,9.265,89.04
1633496700,81.455,,8.525,89.98
1633497000,84.785,,6.945,91.73
1633497300,83.34,,7.635,90.975
1633497600,82.31,,8.1,90.41
1633497900,83.71,,7.435,91.145
1633498200,81.51,,8.485,89.995
1633498500,82.1,,8.185,90.285
1633498800,85.425,,6.605,92.03
1633499100,83.465,,7.555,91.02
1633499400,83.32,,7.645,90.965
1633499700,83.12,,7.725,90.845
1633500000,83.715,,7.435,91.15
1633500300,80.015,,9.14,89.155
1633500600,86.595,,6.095,92.69
1633500900,80.705,,8.91,89.615
